Compound,p_val,padj,NCvBroc,NCvBroc_adj,NCvBrus,NCvBrus_adj,NCvCombo,NCvCombo_adj,BrocvBrus,BrocvBrus_adj,BrocvCombo,BrocvCombo_adj,BrusvCombo,BrusvCombo_adj,canopus_id,molecularFormula,adduct,most specific class,level 5,subclass,class,superclass,all classifications,Polarity
25.10_524.3913m/z,2.217035365716034e-4,5.404023703932833e-4,0.028563407571909227,0.09780803198865926,7.992655661425152e-4,0.0295649834582361,7.992655661425152e-4,0.0017040945089453628,0.7263486172630789,1,0.7263486172630789,1,1,1,6909_PosClean_11235,C25H53N3O8,[M + H]+,Alpha amino acid esters,Amino acids and derivatives,"Amino acids, peptides, and analogues",Carboxylic acids and derivatives,Organic acids and derivatives,"Organic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Alcohols and polyols; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Fatty acid esters; Amino acids and derivatives; Alpha amino acid esters; Monoalkylamines; Carboxylic acid amides; Carboxylic acid derivatives; N-acyl-alpha amino acids and derivatives; Carboxylic acid esters; Secondary alcohols; Secondary carboxylic acid amides; Carbonyl compounds; Alpha amino acid amides; Amines; Primary amines; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Leucine and derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities",Positive
24.66_657.2163m/z,3.501434410200291e-4,6.827797099890568e-4,0.009856376197431849,0.053036690967133884,7.992655661425152e-4,0.0295649834582361,0.002988935142543392,0.005277338611053176,0.8998835057418311,1,0.9857232855461066,1,0.9857232855461066,1,6699_PosClean_11376,C31H42N2O6S3,[M + Na]+,Thiodioxopiperazines,Dioxopiperazines,Piperazines,Diazinanes,Organoheterocyclic compounds,Organic compounds; Organoheterocyclic compounds; Organosulfur compounds; Lipids and lipid-like molecules; Thiazoles; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Azoles; Carboxylic acid amides; Carboxylic acid derivatives; Secondary carboxylic acid amides; Thiodioxopiperazines; Carbonyl compounds; Organic oxides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities,Positive
4.57_398.0309m/z,5.555987171561247e-6,4.1843965269734144e-5,0.07245072458685797,0.13421199800516315,0.028563407571909227,0.07172589012501678,1.2159041209436339e-6,1.0569012743586971e-5,0.9857232855461066,1,0.028563407571909227,0.23764750468511744,0.07245072458685797,0.24808884479742277,NA,NA,NA,NA,NA,NA,NA,NA,NA,Positive
24.23_471.2447m/z,4.154811559338172e-4,7.840531491009132e-4,0.002988935142543392,0.02598074393133871,0.005514815227186665,0.0389483825420066,0.0015698221305258109,0.0031121035219195898,0.9981545292779094,1,0.9981545292779094,1,0.9857232855461066,1,6456_PosClean_11155,C17H30N10O6,[M + H]+,Oligopeptides,Peptides,"Amino acids, peptides, and analogues",Carboxylic acids and derivatives,Organic acids and derivatives,"Organic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Fatty acids and conjugates; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Fatty amides; Amino acids and derivatives; Peptides; Monoalkylamines; Carboxylic acid amides; Carboxylic acid derivatives; N-acyl amines; Monocarboxylic acids and derivatives; N-acyl-alpha amino acids and derivatives; Carboxylic acids; Primary carboxylic acid amides; Secondary carboxylic acid amides; Carbonyl compounds; Alpha amino acid amides; N-acyl-alpha amino acids; Amines; Primary amines; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Amino acids; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Oligopeptides; Chemical entities",Positive
25.32_429.2592m/z,1.3235458726868151e-5,5.830862380303128e-5,0.046267655779403394,0.11365750224070888,0.028563407571909227,0.07172589012501678,3.036420827773334e-6,1.715577767691934e-5,0.9981545292779094,1,0.07245072458685797,0.27289772927716505,0.1096113529918723,0.30965207220204083,6996_PosClean_11311,C24H38O5,[M + Na]+,Fatty Acyls,NA,NA,Fatty Acyls,Lipids and lipid-like molecules,Organic compounds; Lipids and lipid-like molecules; Alcohols and polyols; Organic acids and derivatives; Carboxylic acids and derivatives; Primary alcohols; Organooxygen compounds; Monocarboxylic acids and derivatives; Carboxylic acids; Cyclic alcohols and derivatives; Secondary alcohols; Carbonyl compounds; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities,Positive
23.44_387.2092m/z,5.555987171561247e-6,4.1843965269734144e-5,0.07245072458685797,0.13421199800516315,0.028563407571909227,0.07172589012501678,1.2159041209436339e-6,1.0569012743586971e-5,0.9857232855461066,1,0.028563407571909227,0.23764750468511744,0.07245072458685797,0.24808884479742277,NA,NA,NA,NA,NA,NA,NA,NA,NA,Positive
24.49_862.0419m/z,0.00116250947489143,0.001838021737328342,0.0021746010455050424,0.02598074393133871,0.017056143645342026,0.06022950724761403,0.022163512723026635,0.027521724590131975,0.9301404011942629,1,0.8998835057418311,1,0.9997673644952008,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,Positive
4.78_437.1971m/z,8.157455628083002e-4,0.0014245109081876285,0.08950227416036005,0.1580274528143861,0.036506166200736656,0.08594159959756754,3.946193899635464e-4,0.001037023048043738,0.9857232855461066,1,0.3530585079708931,0.7124216321555525,0.5635118363288691,0.9949505860181596,NA,NA,NA,NA,NA,NA,NA,NA,NA,Positive
24.51_781.5565m/z,9.739423736702181e-6,5.830862380303128e-5,0.22574087973709211,0.311081944027944,0.10961135299187252,0.1744518716631216,7.362089364137958e-6,3.466317075614955e-5,0.9857232855461066,1,0.017056143645342026,0.23764750468511744,0.046267655779403394,0.22731500448141664,6599_PosClean_12425,C42H78O11,[M + Na]+,Steroidal glycosides,NA,Steroidal glycosides,Steroids and steroid derivatives,Lipids and lipid-like molecules,"Organic compounds; Organoheterocyclic compounds; Carbohydrates and carbohydrate conjugates; Lipids and lipid-like molecules; Alcohols and polyols; Ethers; Steroids and steroid derivatives; Organic acids and derivatives; Carboxylic acids and derivatives; Organooxygen compounds; Steroidal glycosides; Monocarboxylic acids and derivatives; Carboxylic acids; Cyclic alcohols and derivatives; Hydroxysteroids; Bile acids, alcohols and derivatives; Hexoses; Monosaccharides; Acetals; Secondary alcohols; Carbonyl compounds; Oxanes; Terpene glycosides; Glycosyl compounds; Hydroxy bile acids, alcohols and derivatives; O-glycosyl compounds; Polyols; Very long-chain fatty acids; 7-hydroxysteroids; Organic oxides; Oxacyclic compounds; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities",Positive
23.98_334.2933m/z,3.1581276425504017e-4,6.598230967471376e-4,0.046267655779403394,0.11365750224070888,0.0011244710108493372,0.0295649834582361,0.0011244710108493372,0.002353059707888428,0.6735417379230294,1,0.6735417379230294,1,1,1,6330_PosClean_11419,C19H39N2O,[M + Na]+,N-acyl amines,N-acyl amines,Fatty amides,Fatty Acyls,Lipids and lipid-like molecules,Organic compounds; Lipids and lipid-like molecules; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Primary alcohols; Organooxygen compounds; Fatty amides; Carboxylic acid amides; Carboxylic acid derivatives; N-acyl amines; Secondary carboxylic acid amides; Carbonyl compounds; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities,Positive
19.83_249.0723m/z,5.367488325338948e-6,4.1843965269734144e-5,1.7329298687807082e-5,0.0019582107517222003,0.6189123238082546,0.7064352786902299,0.00985637619743196,0.013922131378872644,0.002988935142543392,0.3377496711074033,0.40237601873839646,0.770652374871844,0.2257408797370919,0.5314316543810704,4159_PosClean_11697,C8H12N2O7,[M + H]+,Primary alcohols,Primary alcohols,Alcohols and polyols,Organooxygen compounds,Organic oxygen compounds,Organic compounds; Alcohols and polyols; Organonitrogen compounds; Primary alcohols; Organooxygen compounds; Monoalkylamines; Amines; Primary amines; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities,Positive
24.25_741.4838m/z,6.434425958196015e-5,2.1509366774540966e-4,0.8224006632067871,0.8525805040584122,0.8998835057418314,0.9593097749889336,0.0015698221305258109,0.0031121035219195898,0.9981545292779094,1,0.028563407571909227,0.23764750468511744,0.017056143645342026,0.175213111993059,6473_PosClean_12441,C30H64N10O11,[M + H]+,Peptides,Peptides,"Amino acids, peptides, and analogues",Carboxylic acids and derivatives,Organic acids and derivatives,"Organic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alcohols and polyols; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Primary alcohols; Organooxygen compounds; Fatty amides; Amino acids and derivatives; Peptides; Carboxylic acid amides; Carboxylic acid derivatives; N-acyl amines; Primary carboxylic acid amides; Secondary carboxylic acid amides; Carbonyl compounds; Alpha amino acid amides; Amines; Primary amines; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities",Positive
27.78_601.5125m/z,2.6119287950948515e-5,9.549864657065551e-5,0.036506166200736656,0.11365750224070888,0.8224006632067871,0.9022453877899702,5.9188080368310914e-5,0.00020900790880059791,0.26443184156763944,1,0.30694968254062327,0.6544398891903855,0.0021746010455058196,0.08190997271405254,NA,NA,NA,NA,NA,NA,NA,NA,NA,Positive
