compound,neutral_mass,mz,charge,rt,neg_12,neg_16,neg_20,neg_24,neg_28,neg_32,neg_36,neg_40,neg_44,neg_48,neg_13,neg_17,neg_21,neg_25,neg_29,neg_33,neg_37,neg_41,neg_45,neg_49,neg_14,neg_18,neg_22,neg_26,neg_30,neg_34,neg_38,neg_42,neg_46,neg_50,neg_15,neg_19,neg_23,neg_27,neg_31,neg_35,neg_39,neg_43,neg_47,neg_51
22.58_329.2332,NA,329.2332041,1,22.58256667,109.9079855,106.08685,143.9758817,126.8846982,128.9893075,172.3340274,91.69664991,147.7720449,122.5725718,66.91203827,149.7112871,174.9220141,252.102875,228.6134251,196.9650612,253.9090588,185.5699586,230.1163192,315.9640357,170.1158656,229.4497027,208.7139186,294.0519984,236.5512681,230.18584,343.9354627,315.0806858,251.5157149,341.2822985,220.9217933,284.7435577,362.7514848,378.4528255,348.5905002,297.7820608,528.8649863,397.2375511,427.1184424,401.9596287,368.1296327
15.63_869.1379,NA,869.1378565,1,15.62876667,38.57614329,1.023853362,4.966544903,0,6.758623809,0,1.179839486,0,2.642040817,2.115736979,38.28834755,11.46151056,42.96334857,10.07734021,29.92159137,5.614926708,2.456144093,2.739474442,13.78441304,7.938762392,23.97450374,9.88558413,36.54440201,16.27769151,25.20057549,16.85885453,1.367382299,1.21683828,4.752332672,8.477341058,29.14279431,13.33390227,62.20164478,9.928094999,35.29191846,8.391681825,0,1.070512858,9.499203838,9.783517732
25.73_825.1484,NA,825.1483594,1,25.72806667,14.44683295,4.513661906,0,2.247372459,6.336315157,0.033502237,12.32763058,16.38909438,39.01575382,0,24.75303747,19.2347162,2.414345188,4.046198073,19.47371554,13.7422074,31.56609294,36.87028215,74.95964126,0,9.023915055,37.91383771,0,0,10.09401513,0,12.84376755,25.29910247,94.12285111,0,61.04541069,29.8596872,4.096589786,3.690901265,22.51931633,8.268040952,31.97993674,42.09702128,83.82510318,10.00102301
14.23_417.1429,417.1429102,416.1356337,1,14.22766667,85.85749124,3.064021601,4.599035726,3.205856265,7.593229785,3.435902331,4.93753549,6.274722616,149.821478,1.917525872,104.88103,3.228398,15.83503053,26.04956339,132.2628414,7.564101595,27.95934171,10.77058913,175.7147608,1.106498127,111.3500554,2.571949157,10.4465279,23.85794023,139.2434924,8.99925578,9.038595643,3.720466117,179.644488,0.713942557,134.7250924,59.80740906,56.52600706,21.83225521,124.4974738,69.63757054,116.7334169,8.796057492,186.3843991,68.6518209
10.42_463.1409,NA,463.1408985,1,10.4152,4.764542029,0.396350788,3.880830237,0,5.292526043,0,3.435640278,12.18709396,21.68285726,2.22392684,15.2999842,17.41719773,21.97408826,17.4940961,19.83191538,11.47239241,22.5861762,20.10906252,19.65751972,2.914597746,13.95119043,9.935406164,18.34284049,11.10863273,11.62746627,14.16588846,18.28704885,17.35482043,15.90965138,3.893314136,8.435198514,21.22945408,16.75037882,15.6170832,7.96633113,14.75487689,22.34810287,23.60061824,13.50788981,23.25523945
16.74_852.3846,NA,852.3846326,1,16.74221667,0.948898029,6.488134417,3.908356993,0,9.986599969,9.978785059,15.81476022,30.29969882,14.10584687,2.379194416,15.09435225,30.22789556,20.52999978,0.072729545,32.38783626,38.86671233,31.1731574,47.6075405,33.8153294,44.49920739,14.29740885,24.32687722,15.90083647,0.895312213,24.11280009,27.28004995,21.7072044,33.84693223,12.73936212,29.12836117,14.38492434,21.45079426,21.7913755,0.135347001,11.38287062,39.24408098,10.74142699,38.51445175,18.2786807,47.97240243
24.35_936.0496,936.0495724,917.0426737,1,24.34631667,1512.336999,1591.575772,1593.40519,1427.974164,1861.452635,1347.428593,1337.545771,1471.261408,1232.538848,1747.174454,663.7394837,559.5679273,707.8965974,498.8660731,510.4995528,627.1780239,518.7263192,498.2649168,515.8090664,575.7639254,525.9441476,521.2209194,786.2574238,758.4821939,719.7303083,631.5375119,298.6041555,596.7806167,657.4816042,743.022965,584.0968548,481.9769072,432.2913169,493.3211429,461.5376992,559.5258765,395.5191781,489.8667219,497.7943198,428.6989015
24.33_810.0417,810.0416749,809.0343985,1,24.32731667,852.6173907,964.1039947,981.5134699,779.6411088,1179.194019,782.9063769,768.6471183,923.9344305,731.0981653,956.5363017,395.2804273,342.958274,470.3227743,329.5533987,318.0832119,396.8553083,361.139567,291.2710507,371.3911949,428.7621934,346.8543726,302.346522,501.4586636,503.9377572,367.1825286,362.7584385,224.5574252,359.9821988,497.4420532,516.3657384,281.3975884,318.1683076,284.889259,254.7108436,292.2195601,327.6773957,227.0062657,314.7334317,294.7072751,249.6780831
15.61_759.1617,NA,759.1617128,1,15.6101,203.688452,2.778481107,23.72410049,0,60.9972521,24.78539245,17.58008851,12.66409991,34.28795072,1.245091586,182.3625131,101.0114675,202.6843408,103.7481765,181.2710992,92.51330366,59.02506145,39.72280005,89.11384311,47.54405407,198.7742365,95.9803544,192.2000423,107.42338289999999,184.737175,100.794831,55.55582787,49.20094672,103.4119814,49.94339999,135.3652428,125.9657135,276.8954767,91.17486558,180.1926533,104.4177416,44.16239138,56.20836809,84.74855495,98.09993455
15.87_326.2078,NA,326.2078251,1,15.87341667,30.14228661,0,0,0,3.236579197,0,0.750057275,9.40941265,43.42338326,0,15.58944863,5.733361086,0,30.24324272,19.736631589999998,25.69493235,20.43474256,15.79847394,43.68557951,0,33.10806409,5.630285255,14.69608745,31.95245414,18.15657261,19.98947995,10.43161454,25.96690924,61.8589158,0,35.51496557,22.4401093,22.41338648,22.44308718,22.85162723,37.4271457,35.0383175,28.30117082,33.68489352,12.75192247
