compound,neutral_mass,mz,charge,rt,pos_12,pos_16,pos_20,pos_24,pos_28,pos_32,pos_36,pos_40,pos_44,pos_48,pos_13,pos_17,pos_21,pos_25,pos_29,pos_33,pos_37,pos_41,pos_45,pos_49,pos_14,pos_18,pos_22,pos_26,pos_30,pos_34,pos_38,pos_42,pos_46,pos_50,pos_15,pos_19,pos_23,pos_27,pos_31,pos_35,pos_39,pos_43,pos_47,pos_51
19.59_366.2048,NA,366.2047774,2,19.58681667,44.63610734,34.10646078,7.64592681,6.26025095,85.9378116,136.5181002,110.4012355,203.8290574,66.63750161,82.61608537,52.70257954,86.35026323,32.05771021,20.01404914,187.5907351,169.4757041,149.9558665,204.7884245,60.00191887,228.8461176,59.66022838,89.33458503,50.0244701,37.25329335,184.1778368,201.4606119,165.096038,155.5125025,102.0109155,247.9193108,62.9511202,83.73250475,73.90332459,33.14961478,186.9394697,160.7866941,157.8161928,184.3522697,86.30937391,238.9076252
7.71_296.1235,NA,296.1234846,1,7.7116,85.68453071,0,0,0,0.840476638,0,0,0,42.60455717,1.161462887,76.18652153,3.807211544,1.516105438,100.0088733,79.3559577,0.93015532,2.197905709,0.886169013,39.68200516,0.778051511,76.84811426,0.094658143,0,102.0850622,76.66483888,1.340934073,7.196684317,1.088464826,43.71854863,0,72.11189852,11.22231664,6.799018469,71.27570424,77.5446373,12.62665597,18.97629899,0,33.75201512,10.47602948
8.75_582.1437,NA,582.1436998,2,8.7532,28.90865269,2.019787593,63.7865118,179.7619154,20.17907486,464.9771569,132.9971659,0.032379604,160.8489317,18.82420871,6.105576597,0.118174991,19.51987443,89.62692137,2.291540441,242.1414737,107.2686243,0,121.1936238,1.369914813,20.91157409,0.122392594,24.99993141,20.25599462,3.572589623,281.3204883,115.7465023,0.985328447,138.8243112,0,9.261681625,0,13.84065226,16.63165295,0,261.06073,83.44572268,0,134.2191185,0
5.54_368.1467,NA,368.1467041,1,5.54055,30.76160518,0,10.19408558,21.93296399,0,0.417199434,0,26.66669877,83.30845492,0,36.84493625,31.15477657,26.06745337,65.05518468,19.01239332,39.75117624,39.42943016,27.694886,28.81321059,21.97988473,53.01165719,19.19236225,17.55333774,61.49147477,23.51948651,34.80368856,37.16976447,44.65199837,46.33383875,11.01811346,31.28605084,14.21339962,44.81331007,60.52619023,14.9804302,43.75426746,50.60926356,60.93503142,55.27848987,31.70569049
7.88_566.2513,NA,566.2513478,1,7.883916667,0.987182755,0,0,0,0,0,3.740152583,44.16819363,13.5689492,0,22.48493543,2.263657072,2.970052046,0,49.84817157,63.49216254,37.10260781,39.97305718,24.62634748,13.89568561,27.60441585,7.7258004,2.291319004,0,43.60383171,67.75955302,53.20004079,24.48204908,21.24102511,34.81550213,1.363092932,1.790742958,67.72843216,0,25.21345007,4.930564694,23.38269543,25.06032416,1.271168484,51.53544826
18.57_509.2200,NA,509.2200255,1,18.57486667,1564.908987,1518.596838,1890.548257,1909.157,1875.659869,1753.38226,1702.098567,1130.318952,1465.518211,2288.46503,1412.747421,1279.738278,1785.709982,1808.919995,1095.066907,1312.480907,1543.665248,1258.626961,1536.406714,1560.100062,1347.049641,1249.273149,1742.759724,1896.941924,1128.207665,1357.717556,1491.343894,1271.04839,1537.289997,1649.953682,1472.151123,1184.962382,1196.082313,1761.876746,1262.391747,1243.023069,1263.636196,1226.855436,1367.151656,1142.61734
18.18_114.0907,NA,114.0906764,1,18.17605,0,48.5966266,35.45536648,39.13973619,22.53802085,32.45317939,23.54454302,2.90276402,0,35.2534352,0,15.64912029,20.11350714,28.8388479,0,0,0,0,0,0,0,13.07941127,17.79731729,28.15170951,0,0,0,0,0,3.602814055,0,9.365775415,19.70916363,36.1552279,0,0,0,0,0,0
4.39_338.8165,NA,338.8164586,1,4.389433333,45.66896876,68.87611985,45.591604,90.37962924,66.59278502,62.77293477,58.78016569,53.15249255,11.81984681,93.58711682,49.83740834,47.83142293,51.11618505,45.85386401,47.11343644,42.87648515,49.84072048,39.24403132,22.41808051,64.85943773,47.64324782,58.6027212,104.9168977,34.95688341,62.36332699,40.53587014,53.85862998,35.34034782,19.28785248,74.62959231,22.25460873,23.81803459,39.05631606,31.57718034,51.10874615,11.86768194,39.33666344,24.71282723,24.70209929,19.22801109
10.49_580.7001,NA,580.7001116,2,10.49278333,385.4943473,2572.014922,2272.152129,1352.032608,1628.094864,700.6800177,1135.806399,1483.581895,749.3094581,2300.457841,390.1954278,1014.496678,1401.413471,1043.404239,1123.234402,343.4424691,823.0192041,1261.312254,724.6757261,1329.243899,481.6961923,1097.7044,1761.93213,896.8983589,1005.368239,315.1357498,864.5815279,1169.185018,648.3591469,1060.699664,681.937765,1571.219997,1158.452902,1104.795807,1207.290151,292.1609197,604.4135789,1441.504037,733.8920121,1110.30473
19.85_176.0699,NA,176.06995,1,19.85013333,0,174.5134908,1430.28881,83.52050652,829.7715604,9.47382351,24.99791281,0,0,2232.675523,0,0,31.67632154,0,0,3.427752306,1.279848753,0,0,4269.83322,0,0,108.6493636,0,0,0,0,0,0,4019.685836,0,0,0,2.575382133,0,0,0,0,0,426.7474789
18.42_524.3048,NA,524.3047521,1,18.4207,3622.979883,914.870014,1088.945957,322.5650191,433.0741635,1607.167591,1638.289186,1372.538774,4408.922307,1411.149615,2667.992218,4639.754965,3979.035826,1774.836384,1249.815587,3170.093777,2995.760628,2270.480312,5306.070088,1770.168339,2358.475727,4284.867083,3116.300662,1777.159724,1212.634113,3512.246216,3015.536687,2439.618564,4797.164043,1518.79413,2746.000384,6882.0707410000005,6241.309996,1567.20583,1269.192044,3507.306583,3113.447364,2540.934327,4457.189431,1716.294129
5.37_558.3223,NA,558.32225,1,5.374216667,0,0,0,0,0,0,0,104.8103216,0,0,7.195864526,0,0,0,63.92120956,14.02246131,48.09354082,116.5344062,0,19.34458358,4.566865849,24.54937782,0,0,79.29241636,109.4296186,40.42060775,87.09566256,0,67.79662978,3.380899776,0,0,0,54.66903412,18.22989125,0,68.40740666,0,93.15998544
